season,team_id,overall_pick,round,gsis_id,player_name,position,adp_rank,proj_source,proj_season_ppr,adp_curve_ppr,actual_season_ppr
2018,2,85,9,00-0030068,Marquise Goodwin,WR,64.0,model,124.81516314521478,159.68393018743024,87.4
2018,7,86,9,00-0026345,Pierre Garcon,WR,91.0,model,159.42111243787602,141.1059091516072,58.6
2018,4,87,9,00-0031325,Sammy Watkins,WR,75.0,model,152.1467576986717,151.31243882281368,115.1
2018,8,88,9,00-0033594,Chris Carson,RB,89.0,model,87.0078974230322,113.51361284278084,201.4
2018,9,89,9,00-0031045,Carlos Hyde,RB,61.0,model,189.29270603452667,129.3092085489977,77.1
2018,6,90,9,00-0029668,Andrew Luck,QB,90.0,adp_curve,230.42593632038876,230.42593632038876,327.92
2018,6,91,10,00-0030181,Jack Doyle,TE,103.0,model,118.40433946433328,127.32523850973985,60.5
2018,9,92,10,00-0032950,Carson Wentz,QB,76.0,model,253.495541763702,249.12216376078754,193.66
2018,8,93,10,00-0032688,Robby Anderson,WR,,model,124.09227438428002,87.7643412408978,156.4
2018,4,94,10,00-0031136,Chris Boswell,K,,slot_average,,,
2018,7,95,10,00-0031345,Jimmy Garoppolo,QB,99.0,model,94.08816367889312,219.88666805886493,48.02
2018,2,96,10,00-0031941,Jamison Crowder,WR,87.0,model,127.38386819901652,143.47853349332823,82.8
2018,3,97,10,00-0026143,Matt Ryan,QB,102.0,model,267.8466673295726,216.5855685574075,354.96
2018,1,98,10,,MIN D/ST,D/ST,,slot_average,,,
2018,5,99,10,00-0026176,Jordy Nelson,WR,92.0,model,189.3262841356127,140.52905090517186,156.7
2018,10,100,10,00-0023436,Alex Smith,QB,120.0,model,263.0086666160178,198.61444942753883,138.0
2018,10,101,11,00-0023252,Robbie Gould,K,,slot_average,,,
2018,5,102,11,00-0029141,Alfred Morris,RB,140.0,model,81.11833046496824,94.57181645372,68.1
2018,1,103,11,00-0032268,Marcus Mariota,QB,127.0,model,210.36839733526008,192.34515649982484,175.92000000000002
2018,3,104,11,00-0030404,Chris Thompson,RB,104.0,model,161.6533049999953,107.0009612700133,91.6
2018,2,105,11,00-0020578,Matt Bryant,K,,slot_average,,,
2018,7,106,11,,DEN D/ST,D/ST,,slot_average,,,
2018,4,107,11,00-0033908,Cooper Kupp,WR,82.0,model,199.0029433036602,146.60264075003826,135.1
2018,8,108,11,00-0034750,Rashaad Penny,RB,80.0,adp_curve,117.97134554136096,117.97134554136096,70.4
2018,9,109,11,00-0032257,Duke Johnson Jr.,RB,85.0,model,174.05660336825025,115.43641419702831,132.0
2018,6,110,11,00-0030710,Trey Burton,TE,83.0,model,62.59678748983692,139.10951505671596,147.1
2018,6,111,12,00-0033303,Harrison Butker,K,,slot_average,,,
2018,9,112,12,00-0022942,Philip Rivers,QB,105.0,model,281.81173603273106,213.38016670027912,285.02
2018,8,113,12,00-0028112,Charles Clay,TE,191.0,model,96.58634930634712,93.61654865689195,37.4
2018,4,114,12,00-0027150,Julian Edelman,WR,69.0,adp_curve,155.71348725377266,155.71348725377266,207.42
2018,7,115,12,00-0030656,Isaiah Crowell,RB,93.0,model,114.44845641408156,111.67535808397358,140.70000000000002
2018,2,116,12,00-0032385,Sterling Shepard,WR,100.0,model,131.7461935317978,136.12800247421285,182.5
2018,3,117,12,00-0031359,Kelvin Benjamin,WR,108.0,model,154.0742565888952,132.06584447981973,64.4
2018,1,118,12,00-0033885,David Njoku,TE,107.0,model,130.02997354579696,125.2455567617099,143.9
2018,5,119,12,00-0033556,Tarik Cohen,RB,84.0,model,108.69255204845884,115.93125501803007,233.94
2018,10,120,12,00-0030085,Kenny Stills,WR,109.0,model,112.3932575075882,131.57937095161205,134.42
2018,10,121,13,00-0031062,James White,RB,110.0,model,87.15247535790296,104.65566091447218,276.6
2018,5,122,13,00-0033787,Jake Elliott,K,,slot_average,,,
2018,1,123,13,00-0029137,Alshon Jeffery,WR,70.0,model,160.7514820665081,154.95402085353405,185.3
2018,3,124,13,00-0033288,George Kittle,TE,125.0,model,138.89420215073085,116.7584066414687,258.7
2018,2,125,13,00-0027061,Jared Cook,TE,181.0,model,104.81241650522033,96.55193559200063,193.6
2018,7,126,13,00-0022943,Benjamin Watson,TE,192.0,model,103.7516969219332,93.33150861970574,87.0
2018,4,127,13,,NO D/ST,D/ST,,slot_average,,,
2018,8,128,13,00-0033077,Dak Prescott,QB,133.0,model,251.91351970676055,187.24062157354024,285.9
2018,9,129,13,,NE D/ST,D/ST,,slot_average,,,
2018,6,130,13,00-0034349,Kerryon Johnson,RB,72.0,adp_curve,122.37684392788725,122.37684392788725,139.4
2018,6,131,14,00-0023853,Matt Prater,K,,slot_average,,,
2018,9,132,14,00-0033127,Will Fuller V,WR,,model,80.64841970183669,87.7643412408978,106.3
2018,8,133,14,00-0032211,Tyler Lockett,WR,142.0,model,114.2605717298304,117.61963001349199,222.4
2018,4,134,14,00-0031280,Derek Carr,QB,130.0,model,250.3902226369272,189.76343718223552,216.76
2018,7,135,14,00-0033948,Jamaal Williams,RB,73.0,model,103.70947403246612,121.8000960065294,114.4
2018,2,136,14,,TEN D/ST,D/ST,,slot_average,,,
2018,3,137,14,00-0032569,Wil Lutz,K,,slot_average,,,
2018,1,138,14,00-0032741,Peyton Barber,RB,101.0,model,76.6700859196447,108.22486019639044,150.3
2018,5,139,14,00-0031549,Nelson Agholor,WR,97.0,model,145.38463387122823,137.73570049077213,165.4
2018,10,140,14,00-0030549,Tyler Eifert,TE,128.0,model,62.61826687887542,115.46383901429226,38.900000000000006
2018,10,141,15,00-0031577,Javorius Allen,RB,204.0,model,109.56162636649356,78.82994842770154,93.6
2018,5,142,15,00-0033308,Matt Breida,RB,121.0,model,88.91619165969985,100.67040286285882,162.5
2018,1,143,15,00-0033681,Keelan Cole,WR,124.0,model,123.1579990863511,124.77399273764615,89.1
2018,3,144,15,,HOU D/ST,D/ST,,slot_average,,,
2018,2,145,15,00-0021547,Antonio Gates,TE,199.0,model,90.26679436590342,91.37684810149045,75.3
2018,7,146,15,,ARI D/ST,D/ST,,slot_average,,,
2018,4,147,15,00-0034845,Sony Michel,RB,78.0,adp_curve,119.02997325904795,119.02997325904795,139.1
2018,8,148,15,00-0032392,Austin Hooper,TE,216.0,model,92.88075151130766,86.90231654399929,163.0
2018,9,149,15,00-0031418,Austin Seferian-Jenkins,TE,172.0,model,71.73579253473888,99.33591222410746,26.0
2018,6,150,15,,CHI D/ST,D/ST,,slot_average,,,
2018,6,151,16,00-0029632,Mohamed Sanu,WR,171.0,model,133.73737649328052,107.8108071530126,182.4
2018,9,152,16,00-0025580,Mason Crosby,K,,slot_average,,,
2018,8,153,16,00-0025394,Adrian Peterson,RB,116.0,model,90.13253511004426,102.43494997481466,189.0
2018,4,154,16,00-0031273,Cameron Brate,TE,187.0,model,122.32923166912592,94.77183078764529,92.9
2018,7,155,16,00-0032760,Josh Doctson,WR,141.0,model,73.69573021489916,117.99264926335144,109.2
2018,2,156,16,00-0031387,Eric Ebron,TE,186.0,model,115.54378006202558,95.0645126850244,222.2
2018,3,157,16,00-0030821,Allen Hurns,WR,115.0,model,119.70253262860692,128.7510870485632,61.5
2018,1,158,16,00-0016919,Adam Vinatieri,K,,slot_average,,,
2018,5,159,16,,CAR D/ST,D/ST,,slot_average,,,
2018,10,160,16,00-0033932,Kenny Golladay,WR,138.0,model,113.5611460091652,119.12778987706622,207.1
2019,8,1,1,00-0034844,Saquon Barkley,RB,1.0,model,224.5550306533692,310.55972794943494,244.1
2019,4,2,1,00-0033906,Alvin Kamara,RB,3.0,model,205.7086016550936,262.25957813238324,248.52
2019,6,3,1,00-0033280,Christian McCaffrey,RB,2.0,model,242.2260396931131,280.08572632789804,471.2
2019,1,4,1,00-0032241,Todd Gurley II,RB,13.0,model,205.050299333862,197.79252197840373,219.4
2019,10,5,1,00-0033045,Ezekiel Elliott,RB,4.0,model,250.57275958759388,249.61172470636114,311.7
2019,2,6,1,00-0033040,Tyreek Hill,WR,16.0,model,235.83362843035613,237.91532764333903,188.3
2019,9,7,1,00-0032187,David Johnson,RB,6.0,model,227.6735246188808,231.78557651084634,141.6
2019,7,8,1,00-0030564,DeAndre Hopkins,WR,5.0,model,253.13286168049677,303.0960248555931,268.54
2019,5,9,1,00-0032765,Michael Thomas,WR,11.0,model,236.19325888396952,258.91241595687916,374.6
