gsis_id,position,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
00-0033562,WR,5-8,181.0,4.51,11.0,32.0,116.0,6.77,4.0
00-0033948,RB,6-0,212.0,4.59,,30.0,123.0,7.25,4.53
00-0033949,QB,6-3,216.0,4.64,,33.0,122.0,6.75,4.31
00-0033464,WR,6-3,204.0,4.47,10.0,35.5,132.0,6.7,4.09
00-0033950,RB,6-0,215.0,4.6,21.0,29.5,120.0,7.17,4.28
00-0033840,WR,6-2,202.0,4.53,11.0,35.0,119.0,6.74,4.13
00-0033951,RB,5-11,213.0,4.5,15.0,35.5,125.0,,
00-0033564,TE,6-5,246.0,,,,,,
00-0033288,TE,6-4,247.0,4.52,18.0,35.0,132.0,,
00-0033953,TE,6-5,258.0,,18.0,33.0,114.0,7.12,4.33
00-0033528,TE,6-5,252.0,4.69,,29.0,116.0,,
00-0033567,RB,6-1,219.0,4.54,15.0,34.0,125.0,7.03,4.32
00-0033955,RB,5-9,214.0,4.49,,35.5,121.0,6.93,4.28
00-0033573,WR,5-11,191.0,4.5,8.0,32.0,118.0,6.83,4.2
00-0033957,WR,6-1,189.0,4.44,8.0,29.5,125.0,6.98,4.28
00-0033958,QB,6-2,226.0,4.82,,31.0,110.0,7.14,4.31
00-0033466,WR,5-7,173.0,4.42,11.0,36.0,123.0,6.64,4.15
00-0033576,TE,6-5,253.0,,22.0,33.0,121.0,,
00-0033291,WR,,,,,,,,
00-0033292,WR,5-8,181.0,4.63,13.0,33.0,117.0,6.74,4.01
00-0033789,RB,5-9,196.0,4.37,17.0,33.5,121.0,,
00-0033293,RB,5-9,208.0,4.56,16.0,37.5,127.0,6.82,4.2
00-0033295,RB,5-10,214.0,4.53,15.0,36.0,120.0,7.26,4.56
00-0033296,RB,,,,,,,,
00-0033966,TE,6-6,257.0,4.57,18.0,39.0,134.0,,4.45
00-0033581,RB,,,,,,,,
00-0033967,RB,5-10,231.0,4.93,19.0,32.0,114.0,7.27,4.34
00-0033791,RB,,,,,,,,
00-0033530,WR,6-3,219.0,4.44,19.0,41.0,136.0,6.82,4.28
00-0033585,QB,6-4,214.0,,,,,,
00-0033968,WR,6-1,195.0,4.45,10.0,34.0,122.0,,
00-0033589,WR,,,,,,,,
00-0033471,WR,6-1,194.0,4.61,14.0,35.5,127.0,6.94,4.34
00-0033304,RB,,,,,,,,
00-0033591,WR,6-2,222.0,,19.0,,,7.07,4.33
00-0033796,RB,,,,,,,,
00-0033797,RB,,,,,,,,
00-0033975,RB,6-0,232.0,,18.0,,,,
00-0033305,WR,6-2,196.0,4.52,11.0,39.5,135.0,7.19,4.26
00-0033594,RB,6-0,218.0,4.58,23.0,37.0,130.0,,
00-0033798,TE,,,,,,,,
00-0033596,RB,5-9,205.0,4.47,18.0,28.0,109.0,,
00-0033597,QB,,,,,,,,
00-0034855,QB,6-1,215.0,4.84,,29.0,111.0,7.0,4.28
00-0034844,RB,6-0,233.0,4.4,29.0,41.0,,,4.24
00-0034869,QB,6-3,221.0,4.85,,26.5,105.0,6.96,4.4
00-0034857,QB,6-5,237.0,4.75,,33.5,119.0,6.9,4.4
00-0034343,QB,6-4,226.0,4.92,,31.0,111.0,7.09,4.28
00-0034827,WR,6-0,210.0,4.42,15.0,39.5,132.0,6.95,4.07
