gsis_id,position,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle
00-0039415,WR,6-2,208.0,4.5,13.0,36.5,119.0,,
00-0039420,TE,6-2,241.0,4.61,,35.0,124.0,,
00-0039424,WR,6-4,203.0,4.47,,36.0,126.0,,
00-0039884,WR,5-10,174.0,,,35.0,122.0,,
00-0039238,QB,6-3,217.0,,,36.0,114.0,7.2,4.23
00-0039754,TE,6-3,231.0,4.47,,,,,
00-0039437,WR,6-3,212.0,4.44,,37.5,127.0,,
00-0040676,QB,6-2,219.0,,,,,,
00-0040718,WR,,,,,,,,
00-0040122,RB,5-9,211.0,,,,,,
00-0040124,WR,6-4,219.0,,,,,,
00-0040126,TE,6-6,248.0,,,,,,
00-0040128,TE,6-6,256.0,,,,,,
00-0040129,WR,6-1,202.0,,,,,,
00-0040666,RB,6-0,221.0,4.46,18.0,38.0,130.0,,4.4
00-0040667,WR,5-11,191.0,4.29,,,,,
00-0040691,QB,6-2,223.0,,,,,,
00-0040130,WR,6-4,214.0,4.47,,39.0,128.0,,
00-0040784,RB,6-0,221.0,4.48,,38.5,132.0,,
00-0040734,RB,5-10,202.0,4.43,,38.5,128.0,,
00-0040735,WR,6-0,206.0,4.41,,,,,
00-0040743,QB,6-5,219.0,4.63,,32.0,117.0,,
00-0040736,TE,6-5,251.0,,,,,,
00-0040737,TE,6-5,247.0,4.63,,39.0,122.0,,
00-0040739,TE,6-5,250.0,,22.0,,,,
00-0040727,WR,,,,,,,,
00-0040729,WR,6-1,214.0,,19.0,34.5,125.0,6.84,4.21
00-0040730,RB,5-8,205.0,4.4,16.0,38.0,127.0,,4.34
00-0040663,TE,6-3,241.0,4.71,22.0,34.0,118.0,6.97,4.39
00-0040131,WR,5-11,190.0,4.4,,36.5,119.0,,
00-0040669,WR,6-4,214.0,4.43,17.0,39.5,129.0,6.85,4.05
00-0040134,WR,6-2,204.0,4.61,,37.5,124.0,,
00-0040138,WR,5-10,194.0,4.39,23.0,41.5,134.0,6.82,4.17
00-0040142,RB,6-1,224.0,4.57,,,,,
00-0040009,WR,6-4,222.0,4.48,,,,,
00-0040673,QB,6-2,217.0,,,,,,
00-0040704,QB,5-11,205.0,,,,,,
00-0040154,WR,6-1,183.0,4.37,,39.5,130.0,,
00-0040705,WR,6-1,196.0,4.34,,38.5,128.0,6.82,4.27
00-0040719,RB,5-9,206.0,4.32,,40.5,130.0,,4.41
00-0040715,RB,5-10,219.0,,,39.5,123.0,,
00-0040581,WR,6-5,205.0,4.3,,33.0,126.0,,
00-0040582,WR,6-0,179.0,4.36,,38.0,127.0,6.82,4.19
00-0040644,RB,5-9,198.0,4.42,15.0,35.0,124.0,,
00-0040583,RB,5-10,207.0,4.54,18.0,35.0,119.0,,4.24
00-0040692,RB,5-9,204.0,4.44,21.0,33.5,120.0,,
00-0040584,TE,6-5,241.0,4.84,,30.0,,7.15,4.4
00-0040162,RB,5-8,200.0,,13.0,35.0,124.0,,
00-0040164,WR,,,,,,,,
00-0040646,WR,6-0,205.0,4.42,13.0,,,,
00-0040170,WR,6-2,206.0,4.44,,38.5,127.0,,
00-0040172,WR,5-11,196.0,4.37,,36.5,119.0,,
00-0040668,QB,6-2,212.0,,,,,,
00-0040177,RB,5-10,205.0,4.55,,,117.0,,
00-0040586,RB,5-9,196.0,4.38,,,,,
00-0040179,RB,6-0,212.0,4.43,,39.5,130.0,,4.33
00-0040184,WR,6-1,190.0,4.37,,34.5,124.0,,
00-0040187,TE,6-5,258.0,4.74,,31.0,115.0,7.25,4.4
00-0040189,TE,6-5,243.0,,,34.0,114.0,,
00-0040648,WR,6-3,196.0,4.41,,37.5,,,
00-0040194,TE,6-5,253.0,4.82,16.0,34.5,121.0,,4.4
00-0040649,TE,6-3,274.0,4.91,26.0,34.0,119.0,7.34,4.45
00-0040198,RB,6-1,226.0,4.61,,34.5,120.0,,
00-0040014,QB,6-3,218.0,,,,,,
00-0040202,RB,5-11,213.0,4.58,,37.5,124.0,,
00-0040203,QB,6-4,236.0,,,31.5,112.0,7.13,4.33
00-0040205,RB,6-2,226.0,,,,,,
00-0040206,QB,6-4,216.0,,,,,,
00-0040208,RB,5-9,214.0,4.52,16.0,35.0,120.0,6.9,4.06
00-0040211,QB,6-3,212.0,,,,,,
00-0040215,TE,6-5,246.0,4.7,,,,,
00-0040075,WR,5-10,163.0,4.46,,32.0,121.0,,
00-0040218,WR,5-8,174.0,4.46,,38.0,128.0,,4.41
00-0040220,QB,,,,,,,,
00-0040222,QB,,,,,,,,
00-0040225,TE,6-5,243.0,4.7,,35.5,126.0,7.01,4.29
00-0040651,RB,6-0,217.0,4.51,,35.0,124.0,,
00-0040589,QB,6-4,220.0,,,,,,
00-0040078,RB,5-10,194.0,4.39,,32.5,117.0,,
00-0040234,QB,6-2,214.0,,,,,,
00-0040236,RB,5-8,211.0,4.6,,34.5,117.0,,
00-0040237,WR,5-10,154.0,4.51,,37.0,131.0,6.65,4.15
00-0040238,RB,6-0,204.0,,,35.0,120.0,,
00-0040653,WR,6-1,184.0,4.61,,36.0,123.0,,
00-0040021,RB,6-1,234.0,,,,,,
,WR,6-4,204.0,4.46,,30.0,114.0,,
00-0040240,TE,,,,,,,,
00-0040590,WR,5-11,186.0,4.59,,36.0,124.0,,
00-0040241,WR,5-10,185.0,4.4,,33.5,120.0,,4.27
00-0040242,RB,,,,,,,,
00-0040244,TE,6-6,260.0,4.81,,32.5,114.0,,
00-0040247,WR,,,,,,,,
00-0040250,TE,6-6,251.0,,,35.0,120.0,7.18,4.47
MEN516487,QB,6-5,236.0,,,,,,
LOV121782,RB,6-0,212.0,4.36,,,,,
TAT143045,WR,6-2,192.0,4.53,,,,,
TYS405541,WR,6-2,203.0,,26.0,,,,
SIM639376,QB,6-1,211.0,,,,,,
SAD482340,TE,6-3,241.0,4.39,26.0,43.5,133.0,,
LEM694125,WR,5-11,192.0,,,,,,
CON046719,WR,6-0,196.0,,,,,,
COO816508,WR,6-0,199.0,4.42,,37.0,,,
PRI206342,RB,5-11,203.0,4.49,21.0,35.0,124.0,,
BOS677861,WR,6-4,212.0,,,35.0,,,4.28
BER218265,WR,6-1,206.0,4.48,,32.5,125.0,6.71,4.31
STO806346,TE,6-4,239.0,4.51,,45.5,135.0,,
KLE258860,TE,6-6,248.0,4.61,,36.0,117.0,7.42,
KLA269938,TE,6-4,246.0,,,,,,
,QB,6-5,233.0,,,,,,
ROU550040,TE,6-6,267.0,4.7,25.0,38.5,126.0,7.08,4.37
WIL143106,WR,6-0,187.0,4.41,10.0,39.5,124.0,7.0,
,TE,6-5,245.0,,,,,,
FIE775129,WR,6-5,218.0,4.61,,38.0,124.0,6.98,4.35
DOU210628,WR,6-4,206.0,4.39,,31.5,126.0,,
ALL015451,QB,6-5,228.0,,,,,,
BRA531428,WR,5-9,177.0,4.35,20.0,38.0,125.0,,
LAN311008,WR,6-4,200.0,4.47,,40.0,129.0,,
BRA836631,WR,6-4,198.0,4.37,,,,,
HUR541377,WR,6-4,206.0,4.42,,36.5,135.0,,
THO417520,WR,5-10,190.0,4.28,,36.0,,,
BLA097235,RB,,,,,,,,
BEL267684,WR,6-2,222.0,,,,,,
RAR148318,TE,,,,,,,,
THO495568,WR,5-9,164.0,4.26,,,,,
COL293648,RB,5-8,220.0,,22.0,,,,
KLU066027,QB,6-2,207.0,,,,,,
SAR527100,WR,6-3,210.0,,,,,,
WAS797326,RB,6-1,223.0,4.33,,39.0,128.0,,
BEL597603,WR,6-0,192.0,4.4,,41.0,133.0,,
HIB564972,TE,6-4,251.0,4.57,28.0,37.0,116.0,,
LAN016345,WR,6-3,204.0,4.34,,41.5,133.0,7.0,4.15
,WR,6-5,218.0,4.49,,,,,
VIR271235,WR,6-3,187.0,4.57,,36.0,127.0,,
JOL735174,TE,6-4,241.0,,,,,,
JOH224817,RB,5-10,202.0,4.56,16.0,35.5,120.0,7.32,4.29
KOZ404039,TE,6-7,247.0,4.7,,36.5,122.0,,
,RB,6-0,219.0,,,,,,
LAW090280,WR,5-11,203.0,4.45,21.0,42.0,128.0,,
,TE,6-5,247.0,,,,,,
RAN022436,RB,6-3,232.0,4.5,26.0,37.0,124.0,,4.53
ALL092954,WR,,,,,,,,
COL362413,WR,5-10,179.0,4.49,,38.5,126.0,,
GRE361852,QB,6-6,227.0,4.36,,43.5,134.0,,
ALL532376,RB,5-11,216.0,,,,,,
BRO268113,WR,5-11,177.0,4.4,,,,,
BEN601117,WR,6-0,189.0,4.37,,32.5,122.0,,
DAN490797,WR,6-2,202.0,,,,,,
CLA041524,RB,5-10,188.0,4.37,,,122.0,,
HEN199637,WR,6-1,185.0,4.44,,35.0,120.0,,
WIL189259,WR,,,,,,,,
BON235618,WR,,,,,,,,
SMI038569,WR,,,,,,,,
KAL252591,QB,,,,,,,,
HEI114391,RB,6-0,198.0,4.44,16.0,35.5,120.0,,
MOR767384,QB,6-2,221.0,,,,,,
MCG547540,RB,6-0,223.0,4.49,,42.5,131.0,,4.5
MIL303300,RB,5-10,209.0,4.42,,30.5,115.0,,
RYA022232,TE,,,,,,,,
NUS440041,QB,6-2,203.0,,,,,,
,WR,5-10,180.0,4.3,26.0,42.5,131.0,,
