gsis_id,player_name,player_name_norm,position,draft_year,ff_adp,ff_adp_rank,ff_rankings_note
WIL143106,Antonio Williams,antonio williams,WR,2026,174.5,174.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
,Oscar Delp,oscar delp,TE,2026,388.0,402.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
FIE775129,Malachi Fields,malachi fields,WR,2026,240.5,230.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
DOU210628,Caleb Douglas,caleb douglas,WR,2026,316.0,271.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
ALL015451,Drew Allar,drew allar,QB,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=52.17391304347826).
BRA531428,Zachariah Branch,zachariah branch,WR,2026,193.5,188.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
LAN311008,Ja'Kobi Lane,ja kobi lane,WR,2026,332.0,324.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
BRA836631,Chris Brazzell II,chris brazzell,WR,2026,319.5,298.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
HUR541377,Ted Hurst,ted hurst,WR,2026,275.0,239.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
THO417520,Zavion Thomas,zavion thomas,WR,2026,293.5,283.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
BLA097235,Kaelon Black,kaelon black,RB,2026,218.0,212.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
BEL267684,Chris Bell,chris bell,WR,2026,282.0,251.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
RAR148318,Eli Raridon,eli raridon,TE,2026,329.0,378.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
THO495568,Brenen Thompson,brenen thompson,WR,2026,348.0,386.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
COL293648,Jonah Coleman,jonah coleman,RB,2026,157.0,156.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
KLU066027,Cade Klubnik,cade klubnik,QB,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=48.0).
SAR527100,Elijah Sarratt,elijah sarratt,WR,2026,310.5,245.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
WAS797326,Mike Washington Jr.,mike washington,RB,2026,195.0,189.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
BEL597603,Skyler Bell,skyler bell,WR,2026,338.5,315.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
HIB564972,Matthew Hibner,matthew hibner,TE,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=53.84615384615385).
LAN016345,Bryce Lance,bryce lance,WR,2026,312.0,337.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
,Colbie Young,colbie young,WR,2026,323.0,375.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
VIR271235,Reggie Virgil,reggie virgil,WR,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=51.85185185185186).
JOL735174,Justin Joly,justin joly,TE,2026,330.0,379.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
JOH224817,Emmett Johnson,emmett johnson,RB,2026,184.5,181.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
KOZ404039,Tanner Koziol,tanner koziol,TE,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=45.45454545454546).
,Nicholas Singleton,nicholas singleton,RB,2026,207.5,199.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
LAW090280,Kendrick Law,kendrick law,WR,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=61.53846153846154).
,Joe Royer,joe royer,TE,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=55.55555555555556).
RAN022436,Adam Randall,adam randall,RB,2026,304.0,285.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
ALL092954,Cyrus Allen,cyrus allen,WR,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=60.86956521739131).
COL362413,Kevin Coleman Jr.,kevin coleman,WR,2026,264.0,303.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
GRE361852,Taylen Green,taylen green,QB,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=58.33333333333333).
ALL532376,Kaytron Allen,kaytron allen,RB,2026,184.0,180.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
BRO268113,Barion Brown,barion brown,WR,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=66.66666666666667).
BEN601117,Malik Benson,malik benson,WR,2026,273.0,319.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
DAN490797,CJ Daniels,cj daniels,WR,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=47.61904761904761).
CLA041524,Demond Claiborne,demond claiborne,RB,2026,210.5,203.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0)
HEN199637,Emmanuel Henderson Jr.,emmanuel henderson,WR,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=53.333333333333336).
WIL189259,CJ Williams,cj williams,WR,2026,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=75.0).
