gsis_id,pfr_player_id,player_name,player_name_norm,position,hs_class,birth_date,draft_year,college,draft_team
00-0035282,SticEa00,Easton Stick,easton stick,QB,2014,1995-09-15,2019,North Dakota St.,LAC
00-0035283,ThorCl00,Clayton Thorson,clayton thorson,QB,2014,1995-06-15,2019,Northwestern,PHI
00-0035535,SlayDa01,Darius Slayton,darius slayton,WR,2015,1997-01-12,2019,Auburn,NYG
00-0035287,JohnKe07,KeeSean Johnson,keesean johnson,WR,2014,1996-10-09,2019,Fresno St.,ARI
00-0034988,SmitKa00,Kaden Smith,kaden smith,TE,2016,1997-04-24,2019,Stanford,SFO
00-0035289,MinsGa00,Gardner Minshew II,gardner minshew,QB,2015,1996-05-16,2019,Washington St.,JAX
00-0035291,WillTr06,Trayveon Williams,trayveon williams,RB,2016,1997-10-18,2019,Texas A&M,CIN
00-0035592,FulgTr00,Travis Fulgham,travis fulgham,WR,2013,1995-09-13,2019,Old Dominion,DET
00-0035537,JohnTy02,Ty Johnson,ty johnson,RB,2015,1997-09-17,2019,Maryland,DET
00-0035593,WinfJu00,Juwann Winfree,juwann winfree,WR,2014,1996-09-04,2019,Colorado,DEN
00-0034995,WillDe07,Dexter Williams,dexter williams,RB,2015,1997-01-06,2019,Notre Dame,GNB
00-0035146,McSoTr00,Trace McSorley,trace mcsorley,QB,2014,1995-08-23,2019,Penn St.,BAL
00-0035296,GreeMa02,Marcus Green,marcus green,WR,2014,1996-08-13,2019,La-Monroe,ATL
00-0035594,HomeTr00,Travis Homer,travis homer,RB,2016,1998-08-07,2019,Miami (FL),SEA
00-0035297,HarmKe00,Kelvin Harmon,kelvin harmon,WR,2016,1996-12-15,2019,North Carolina St.,WAS
00-0035298,MillSc01,Scott Miller,scott miller,WR,2015,1997-07-31,2019,Bowling Green,TAM
00-0035299,AndeRo02,Rodney Anderson,rodney anderson,RB,2015,1996-09-12,2019,Oklahoma,CIN
00-0035148,ThomDa06,Darwin Thompson,darwin thompson,RB,2015,1997-02-12,2019,Utah St.,KAN
00-0035303,WebeMi00,Mike Weber,mike weber,RB,2015,1997-08-27,2019,Ohio St.,DAL
00-0035304,GillCu00,Cullen Gillaspia,cullen gillaspia,RB,2013,1995-05-12,2019,Texas A&M,HOU
00-0035596,WhytKe00,Kerrith Whyte Jr,kerrith whyte,RB,2015,1996-10-31,2019,Florida Atlantic,CHI
00-0035539,NautIs00,Isaac Nauta,isaac nauta,TE,2016,1997-05-21,2019,Georgia,DET
00-0035308,SweeTo00,Tommy Sweeney,tommy sweeney,TE,2014,1995-07-01,2019,Boston Col.,BUF
00-0035309,MackAl00,Alizé Mack,aliz mack,TE,2015,1997-03-29,2019,Notre Dame,NOR
00-0035310,CoxxCh01,Chandler Cox,chandler cox,RB,2015,1996-07-29,2019,Auburn,MIA
00-0035311,GaskMy00,Myles Gaskin,myles gaskin,RB,2015,1997-02-15,2019,Washington,MIA
00-0035597,UrsuJo00,John Ursua,john ursua,WR,2012,1994-01-17,2019,Hawaii,SEA
00-0035313,GodwTe00,Terry Godwin,terry godwin,WR,2015,1996-10-23,2019,Georgia,CAR
00-0035002,MitcDi00,Dillon Mitchell,dillon mitchell,WR,2016,1997-05-16,2019,Oregon,MIN
00-0035006,JohnOl00,Olabisi Johnson,olabisi johnson,WR,2015,1997-03-17,2019,Colorado St.,MIN
00-0035320,WilsCa00,Caleb Wilson,caleb wilson,TE,2014,1996-07-15,2019,UCLA,ARI
00-0036442,BurrJo01,Joe Burrow,joe burrow,QB,2015,1996-12-10,2020,LSU,CIN
00-0036212,TagoTu00,Tua Tagovailoa,tua tagovailoa,QB,2017,1998-03-02,2020,Alabama,MIA
00-0036355,HerbJu00,Justin Herbert,justin herbert,QB,2016,1998-03-10,2020,Oregon,LAC
00-0036357,RuggHe00,Henry Ruggs III,henry ruggs,WR,2017,1999-01-24,2020,Alabama,LVR
00-0036407,JeudJe00,Jerry Jeudy,jerry jeudy,WR,2017,1999-04-24,2020,Alabama,DEN
00-0036358,LambCe00,CeeDee Lamb,ceedee lamb,WR,2017,1999-04-08,2020,Oklahoma,DAL
00-0036387,ReagJa00,Jalen Reagor,jalen reagor,WR,2017,1999-01-02,2020,TCU,PHI
00-0036322,JeffJu00,Justin Jefferson,justin jefferson,WR,2017,1999-06-16,2020,LSU,MIN
00-0036261,AiyuBr00,Brandon Aiyuk,brandon aiyuk,WR,2016,1998-03-17,2020,Arizona St.,SFO
00-0036264,LoveJo03,Jordan Love,jordan love,QB,2016,1998-11-02,2020,Utah St.,GNB
00-0036360,EdwaCl00,Clyde Edwards-Helaire,clyde edwards helaire,RB,2017,1999-04-11,2020,LSU,KAN
00-0036410,HiggTe00,Tee Higgins,tee higgins,WR,2017,1999-01-18,2020,Clemson,CIN
00-0036252,PittMi01,Michael Pittman Jr.,michael pittman,WR,2016,1997-10-05,2020,USC,IND
00-0036275,SwifDA00,D'Andre Swift,d andre swift,RB,2017,1999-01-14,2020,Georgia,DET
00-0036223,TaylJo02,Jonathan Taylor,jonathan taylor,RB,2017,1999-01-19,2020,Wisconsin,IND
00-0036268,ShenLa00,Laviska Shenault Jr.,laviska shenault,WR,2017,1998-10-05,2020,Colorado,JAX
00-0036290,KmetCo00,Cole Kmet,cole kmet,TE,2017,1999-03-10,2020,Notre Dame,CHI
00-0036412,HamlKJ00,KJ Hamler,kj hamler,WR,2017,1999-07-08,2020,Penn St.,DEN
00-0036326,ClayCh01,Chase Claypool,chase claypool,WR,2016,1998-07-07,2020,Notre Dame,PIT
00-0036414,AkerCa00,Cam Akers,cam akers,RB,2017,1999-06-22,2020,Florida St.,LAR
00-0036389,HurtJa00,Jalen Hurts,jalen hurts,QB,2016,1998-08-07,2020,Oklahoma,PHI
00-0036158,DobbJK00,J.K. Dobbins,j k dobbins,RB,2017,1998-12-17,2020,Ohio St.,BAL
00-0036415,JeffVa00,Van Jefferson,van jefferson,WR,2015,1996-07-26,2020,Florida,LAR
00-0036255,MimsDe00,Denzel Mims,denzel mims,WR,2016,1997-10-10,2020,Baylor,NYJ
00-0036265,DillAJ00,AJ Dillon,aj dillon,RB,2017,1998-05-02,2020,Boston Col.,GNB
00-0036328,GibsAn00,Antonio Gibson,antonio gibson,RB,2016,1998-06-23,2020,Memphis,WAS
00-0036450,VaugKe00,Ke'Shawn Vaughn,ke shawn vaughn,RB,2015,1997-05-04,2020,Illinois,TAM
00-0036364,BowdLy00,Lynn Bowden Jr.,lynn bowden,WR,2017,1997-10-14,2020,Kentucky,LVR
00-0036365,EdwaBr01,Bryan Edwards,bryan edwards,WR,2016,1998-11-13,2020,South Carolina,LVR
00-0036251,MossZa00,Zack Moss,zack moss,RB,2016,1997-12-15,2020,Utah,BUF
00-0036194,AsiaDe00,Devin Asiasi,devin asiasi,TE,2016,1997-08-14,2020,UCLA,NWE
00-0036331,DuveDe00,Devin Duvernay,devin duvernay,WR,2016,1997-09-12,2020,Texas,BAL
00-0036297,EvanDa02,Darrynton Evans,darrynton evans,RB,2016,1998-07-09,2020,Appalachian St.,TEN
00-0036332,DeguJo00,Josiah Deguara,josiah deguara,TE,2015,1997-02-14,2020,Cincinnati,GNB
00-0036225,KeenDa00,Dalton Keene,dalton keene,TE,2017,1999-04-14,2020,Virginia Tech,NWE
00-0036422,TrauAd00,Adam Trautman,adam trautman,TE,2015,1997-02-05,2020,Dayton,NOR
00-0036370,KellJo01,Joshua Kelley,joshua kelley,RB,2015,1997-11-20,2020,UCLA,LAC
00-0036232,BryaHa00,Harrison Bryant,harrison bryant,TE,2016,1998-04-23,2020,Florida Atlantic,CLE
00-0036423,OkwuAl00,Albert Okwuegbunam,albert okwuegbunam,TE,2016,1998-04-25,2020,Missouri,DEN
00-0036269,PeriLa00,La'Mical Perine,la mical perine,RB,2016,1998-01-30,2020,Florida,NYJ
00-0036226,EasoJa00,Jacob Eason,jacob eason,QB,2016,1997-11-17,2020,Washington,IND
00-0036336,McFaAn00,Anthony McFarland Jr.,anthony mcfarland,RB,2017,1999-03-04,2020,Maryland,PIT
00-0036301,MorgJa00,James Morgan,james morgan,QB,2015,1997-02-28,2020,Florida International,NYJ
00-0036196,DaviGa01,Gabe Davis,gabe davis,WR,2017,1999-03-01,2020,Central Florida,BUF
00-0036244,ParkCo02,Colby Parkinson,colby parkinson,TE,2017,1999-01-07,2020,Stanford,SEA
00-0036424,HopkBr01,Brycen Hopkins,brycen hopkins,TE,2015,1997-03-27,2020,Purdue,LAR
00-0036340,GandAn00,Antonio Gandy-Golden,antonio gandy golden,WR,2016,1998-04-11,2020,Liberty,WAS
00-0036425,DallDe00,DeeJay Dallas,deejay dallas,RB,2017,1998-09-16,2020,Miami (FL),SEA
00-0036377,ReedJo03,Joe Reed,joe reed,WR,2016,1998-01-04,2020,Virginia,LAC
00-0036427,JohnTy00,Tyler Johnson,tyler johnson,WR,2016,1998-08-25,2020,Minnesota,TAM
00-0036254,JohnCo01,Collin Johnson,collin johnson,WR,2016,1997-09-23,2020,Texas,JAX
00-0036277,CephQu00,Quintez Cephus,quintez cephus,WR,2016,1998-04-01,2020,Wisconsin,DET
00-0036197,FromJa00,Jake Fromm,jake fromm,QB,2017,1998-07-30,2020,Georgia,BUF
00-0036398,HighJo00,John Hightower,john hightower,WR,2014,1996-05-31,2020,Boise St.,PHI
00-0036308,CoulIs00,Isaiah Coulter,isaiah coulter,WR,2016,1998-09-18,2020,Rhode Island,HOU
00-0036278,HuntJa01,Jason Huntley,jason huntley,RB,2016,1998-04-20,2020,New Mexico St.,DET
00-0036309,MoonDa00,Darnell Mooney,darnell mooney,WR,2016,1997-10-29,2020,Tulane,CHI
00-0036345,OsboKJ00,K.J. Osborn,k j osborn,WR,2015,1997-06-10,2020,Miami (FL),MIN
00-0036233,PeopDo00,Donovan Peoples-Jones,donovan peoples jones,WR,2017,1999-02-19,2020,Michigan,CLE
00-0036312,LutoJa00,Jake Luton,jake luton,QB,2014,1996-04-11,2020,Oregon St.,JAX
00-0036429,WoerCh00,Charlie Woerner,charlie woerner,TE,2016,1997-10-16,2020,Georgia,SFO
00-0036271,WatkQu00,Quez Watkins,quez watkins,WR,2016,1998-06-09,2020,Southern Miss,PHI
00-0036133,ProcJa00,James Proche,james proche,WR,2015,1996-09-20,2020,SMU,BAL
00-0036250,DaviTy02,Tyler Davis,tyler davis,TE,2015,1997-04-02,2020,Georgia Tech,JAX
00-0036165,HodgIs00,Isaiah Hodgins,isaiah hodgins,WR,2017,1998-10-21,2020,Oregon St.,BUF
00-0036228,PatmDe00,Dezmon Patmon,dezmon patmon,WR,2016,1998-08-06,2020,Washington St.,IND
00-0036247,SwaiFr00,Freddie Swain,freddie swain,WR,2016,1998-08-04,2020,Florida,SEA
00-0036259,JennJa00,Jauan Jennings,jauan jennings,WR,2015,1997-07-10,2020,Tennessee,SFO
