gsis_id,player_name,position,draft_year,draft_team,sos_opp_win_pct,games_scheduled,off_pass_yards,off_rush_yards,off_pass_rate_proxy,team_opportunity_ppr,team_pos_carries,team_pos_targets,team_pos_receptions,team_pos_touches,incumbent_pos_ppr,incumbent_pos_ppr_sum,incumbent_pos_carries,incumbent_pos_targets,incumbent_pos_touches
00-0031271,Trey Millard,RB,2014,SFO,0.52734375,16.0,3407.0,2176.0,0.5088819226750261,241.5,283.0,62.0,41.0,324.0,190.9,241.5,276.0,36.0,292.0
00-0031503,Jameis Winston,QB,2015,TAM,0.484375,16.0,4042.0,2162.0,0.5404040404040404,216.51999999999998,35.0,0.0,0.0,35.0,89.58,89.58,10.0,0.0,10.0
00-0032268,Marcus Mariota,QB,2015,TEN,0.4921875,16.0,3893.0,1485.0,0.5976138828633406,,,,,,,,,,
00-0031544,Amari Cooper,WR,2015,OAK,0.51171875,16.0,4129.0,1457.0,0.6205128205128205,267.09999999999997,2.0,183.0,92.0,94.0,140.29999999999998,230.7,0.0,98.0,47.0
00-0031545,Kevin White,WR,2015,CHI,0.546875,16.0,3843.0,1854.0,0.5277497477295661,477.70000000000005,6.0,284.0,163.0,169.0,261.6,298.6,6.0,145.0,91.0
00-0032241,Todd Gurley,RB,2015,STL,0.52734375,16.0,2931.0,1956.0,0.524390243902439,128.8,66.0,53.0,45.0,111.0,,,,,
00-0031547,DeVante Parker,WR,2015,MIA,0.46875,16.0,4231.0,1496.0,0.630901287553648,440.0,7.0,249.0,163.0,170.0,189.4,227.2,2.0,112.0,86.0
00-0032144,Melvin Gordon,RB,2015,SDG,0.52734375,16.0,4855.0,1358.0,0.629245283018868,159.4,185.0,51.0,41.0,226.0,145.3,157.5,160.0,45.0,196.0
00-0031549,Nelson Agholor,WR,2015,PHI,0.5078125,16.0,4341.0,1743.0,0.5849765258215962,299.3,1.0,161.0,93.0,94.0,22.5,22.5,1.0,18.0,9.0
00-0032054,Breshad Perriman,WR,2015,BAL,0.5078125,16.0,4449.0,1478.0,0.6383380547686497,339.1,0.0,164.0,104.0,104.0,,,,,
00-0032208,Phillip Dorsett,WR,2015,IND,0.5,16.0,3928.0,1438.0,0.6098522167487684,358.9,6.0,183.0,116.0,122.0,258.5,358.9,4.0,131.0,84.0
00-0032209,T.J. Yeldon,RB,2015,JAX,0.47265625,16.0,4428.0,1473.0,0.631633714880333,96.60000000000001,61.0,38.0,26.0,87.0,,,,,
00-0031934,Devin Smith,WR,2015,NYJ,0.44140625,16.0,4170.0,1868.0,0.5741444866920152,307.7,4.0,198.0,115.0,119.0,200.2,290.0,4.0,115.0,74.0
00-0032218,Dorial Green-Beckham,WR,2015,TEN,0.4921875,16.0,3893.0,1485.0,0.5976138828633406,263.7,4.0,160.0,85.0,89.0,167.9,263.7,4.0,93.0,61.0
00-0032055,Devin Funchess,WR,2015,CAR,0.44140625,16.0,3873.0,2282.0,0.4878286270691334,338.0,8.0,201.0,107.0,115.0,78.1,112.19999999999999,8.0,36.0,29.0
00-0032104,Ameer Abdullah,RB,2015,DET,0.53515625,16.0,4463.0,1335.0,0.640973630831643,102.0,39.0,53.0,34.0,73.0,94.7,102.0,20.0,50.0,54.0
00-0031558,Maxx Williams,TE,2015,BAL,0.5078125,16.0,4449.0,1478.0,0.6383380547686497,32.8,0.0,17.0,12.0,12.0,,,,,
00-0032211,Tyler Lockett,WR,2015,SEA,0.51953125,16.0,4061.0,2268.0,0.49443882709807885,329.28000000000003,3.0,211.0,133.0,136.0,167.3,329.28000000000003,2.0,98.0,67.0
00-0031560,Jaelen Strong,WR,2015,HOU,0.49609375,16.0,4079.0,1731.0,0.5673693858845096,248.8,0.0,140.0,83.0,83.0,,,,,
00-0032058,Tevin Coleman,RB,2015,ATL,0.48046875,16.0,4602.0,1606.0,0.5965417867435159,188.5,123.0,91.0,68.0,191.0,87.3,108.5,65.0,37.0,95.0
00-0032128,Chris Conley,WR,2015,KAN,0.49609375,16.0,3493.0,2044.0,0.5203520352035204,112.4,14.0,70.0,43.0,57.0,61.9,112.4,14.0,31.0,37.0
00-0032257,Duke Johnson,RB,2015,CLE,0.53125,16.0,4156.0,1529.0,0.6157735085945399,235.1,319.0,27.0,20.0,339.0,,,,,
00-0032214,Tyler Kroft,TE,2015,CIN,0.4765625,16.0,4104.0,1805.0,0.5195473251028807,163.3,1.0,97.0,75.0,76.0,18.6,25.3,1.0,15.0,11.0
00-0032166,Sammie Coates,WR,2015,PIT,0.50390625,16.0,4822.0,1724.0,0.6032719836400818,654.6,11.0,321.0,211.0,222.0,388.9,654.6,4.0,181.0,133.0
00-0032245,Sean Mannion,QB,2015,STL,0.52734375,16.0,2931.0,1956.0,0.524390243902439,107.64,16.0,0.0,0.0,16.0,,,,,
00-0032227,Jeff Heuerman,TE,2015,DEN,0.5,16.0,4216.0,1718.0,0.5958702064896755,183.6,2.0,68.0,49.0,51.0,19.7,19.7,2.0,6.0,8.0
00-0032200,Ty Montgomery,WR,2015,GNB,0.53125,16.0,3825.0,1850.0,0.5678889990089198,727.5,11.0,346.0,229.0,240.0,295.4,399.6,11.0,127.0,102.0
00-0031939,Matt Jones,RB,2015,WAS,0.46484375,16.0,4294.0,1566.0,0.5640243902439024,255.10000000000002,277.0,47.0,34.0,311.0,187.9,255.1,265.0,26.0,282.0
00-0031941,Jamison Crowder,WR,2015,WAS,0.46484375,16.0,4294.0,1566.0,0.5640243902439024,479.59999999999997,6.0,291.0,168.0,174.0,209.6,477.99999999999994,4.0,105.0,68.0
00-0031569,Jeremy Langford,RB,2015,CHI,0.546875,16.0,3843.0,1854.0,0.5277497477295661,374.0,302.0,137.0,108.0,410.0,346.6,373.1,266.0,130.0,368.0
00-0032130,Jalston Fowler,RB,2015,TEN,0.4921875,16.0,3893.0,1485.0,0.5976138828633406,,,,,,,,,,
00-0032062,Blake Bell,TE,2015,SFO,0.5390625,16.0,3646.0,1544.0,0.574235807860262,92.9,2.0,75.0,39.0,41.0,62.9,73.2,1.0,50.0,27.0
00-0031577,Javorius Allen,RB,2015,BAL,0.5078125,16.0,4449.0,1478.0,0.6383380547686497,166.6,167.0,49.0,32.0,199.0,,,,,
00-0032063,Mike Davis,RB,2015,SFO,0.5390625,16.0,3646.0,1544.0,0.574235807860262,280.59999999999997,344.0,60.0,41.0,385.0,74.1,121.89999999999999,83.0,25.0,95.0
00-0032133,David Cobb,RB,2015,TEN,0.4921875,16.0,3893.0,1485.0,0.5976138828633406,,,,,,,,,,
00-0032170,Rashad Greene,WR,2015,JAX,0.47265625,16.0,4428.0,1473.0,0.631633714880333,357.59999999999997,3.0,246.0,136.0,139.0,154.7,357.6,3.0,97.0,51.0
00-0031585,MyCole Pruitt,TE,2015,MIN,0.50390625,16.0,3246.0,2211.0,0.4892241379310345,109.5,0.0,62.0,44.0,44.0,59.1,106.9,0.0,34.0,24.0
00-0031588,Stefon Diggs,WR,2015,MIN,0.50390625,16.0,3246.0,2211.0,0.4892241379310345,245.0,6.0,134.0,81.0,87.0,119.9,245.0,5.0,62.0,47.0
00-0031589,Brett Hundley,QB,2015,GNB,0.53125,16.0,3825.0,1850.0,0.5678889990089198,354.14,43.0,0.0,0.0,43.0,354.14,354.14,43.0,0.0,43.0
00-0031590,Jay Ajayi,RB,2015,MIA,0.46875,16.0,4231.0,1496.0,0.630901287553648,287.6,256.0,82.0,62.0,318.0,223.4,281.3,216.0,52.0,254.0
00-0032152,Karlos Williams,RB,2015,BUF,0.5078125,16.0,3600.0,2432.0,0.47741273100616016,71.5,78.0,22.0,19.0,97.0,,,,,
00-0031594,Tony Lippett,WR,2015,MIA,0.46875,16.0,4231.0,1496.0,0.630901287553648,440.0,7.0,249.0,163.0,170.0,189.4,227.2,2.0,112.0,86.0
00-0032134,C.J. Uzomah,TE,2015,CIN,0.4765625,16.0,4104.0,1805.0,0.5195473251028807,163.3,1.0,97.0,75.0,76.0,18.6,25.3,1.0,15.0,11.0
00-0032112,JJ Nelson,WR,2015,ARI,0.4765625,16.0,4775.0,1917.0,0.5542406311637081,560.6,7.0,364.0,194.0,201.0,,,,,
00-0032135,Jesse James,TE,2015,PIT,0.50390625,16.0,4822.0,1724.0,0.6032719836400818,,,,,,,,,,
00-0032113,Kenny Bell,WR,2015,TAM,0.484375,16.0,4042.0,2162.0,0.5404040404040404,339.7,0.0,190.0,105.0,105.0,245.1,336.4,0.0,123.0,68.0
00-0031595,Michael Burton,RB,2015,DET,0.53515625,16.0,4463.0,1335.0,0.640973630831643,102.0,39.0,53.0,34.0,73.0,94.7,102.0,20.0,50.0,54.0
