season,overall_pick,round,round_pick,team_id,espn_player_id,gsis_id,player_name,position,pro_team,is_keeper,bid_amount
2023,90,9,10,4,3123076,00-0033885,David Njoku,TE,CLE,False,0
2023,91,10,1,4,4430191,00-0038090,Skyy Moore,WR,KC,False,0
2023,92,10,2,9,3116593,00-0033893,Dalvin Cook,RB,BAL,False,0
2023,93,10,3,1,3051876,00-0033881,Evan Engram,TE,JAX,False,0
2023,94,10,4,8,4567156,00-0037742,Treylon Burks,WR,TEN,False,0
2023,95,10,5,6,3115394,00-0034777,DJ Chark Jr.,WR,CAR,False,0
2023,96,10,6,3,4361409,00-0037741,Jahan Dotson,WR,WAS,False,0
2023,97,10,7,2,4241474,00-0037746,Brian Robinson Jr.,RB,WAS,False,0
2023,98,10,8,5,4360294,00-0036328,Antonio Gibson,RB,NE,False,0
2023,99,10,9,10,3128429,00-0034348,Courtland Sutton,WR,DEN,False,0
2023,100,10,10,7,14880,00-0029604,Kirk Cousins,QB,ATL,False,0
2023,101,11,1,7,3917792,00-0035710,Daniel Jones,QB,NYG,False,0
2023,102,11,2,10,3916433,00-0034960,Jakobi Meyers,WR,LV,False,0
2023,103,11,3,5,4243537,00-0036196,Gabe Davis,WR,JAX,False,0
2023,104,11,4,2,-16025,,SF D/ST,D/ST,SF,False,0
2023,105,11,5,3,4239934,00-0036265,AJ Dillon,RB,GB,False,0
2023,106,11,6,6,4372485,00-0036936,Rondale Moore,WR,ATL,False,0
2023,107,11,7,8,2980453,00-0033948,Jamaal Williams,RB,NO,False,0
2023,108,11,8,1,4429615,00-0039064,Zay Flowers,WR,BAL,False,0
2023,109,11,9,9,3116389,00-0033526,Samaje Perine,RB,DEN,False,0
2023,110,11,10,4,4426385,00-0039165,Zach Charbonnet,RB,SEA,False,0
2023,111,12,1,4,3139925,00-0034750,Rashaad Penny,RB,PHI,False,0
2023,112,12,2,9,4040655,00-0036309,Darnell Mooney,WR,ATL,False,0
2023,113,12,3,1,3122976,00-0034115,Jeff Wilson Jr.,RB,MIA,False,0
2023,114,12,4,8,16782,00-0031376,Jerick McKinnon,RB,KC,False,0
2023,115,12,5,6,16733,00-0031235,Odell Beckham Jr.,WR,FA,False,0
2023,116,12,6,3,3117256,00-0034383,Dalton Schultz,TE,HOU,False,0
2023,117,12,7,2,4429025,00-0038544,Quentin Johnston,WR,LAC,False,0
2023,118,12,8,5,4372414,00-0036980,Elijah Moore,WR,CLE,False,0
2023,119,12,9,10,2573401,00-0033110,Tyler Higbee,TE,LA,False,0
2023,120,12,10,7,15683,00-0029597,Justin Tucker,K,BAL,False,0
2023,121,13,1,7,-16002,,BUF D/ST,D/ST,BUF,False,0
2023,122,13,2,10,-16023,,PIT D/ST,D/ST,PIT,False,0
2023,123,13,3,5,3051909,00-0034161,Daniel Carlson,K,LV,False,0
2023,124,13,4,2,3045144,00-0033009,Tyler Boyd,WR,CIN,False,0
2023,125,13,5,3,4241479,00-0036212,Tua Tagovailoa,QB,MIA,False,0
2023,126,13,6,6,4360234,00-0036854,Evan McPherson,K,CIN,False,0
2023,127,13,7,8,-16006,,DAL D/ST,D/ST,DAL,False,0
2023,128,13,8,1,-16015,,MIA D/ST,D/ST,MIA,False,0
2023,129,13,9,9,4429084,00-0039164,Anthony Richardson,QB,IND,False,0
2023,130,13,10,4,4241555,00-0036567,Elijah Mitchell,RB,SF,False,0
2023,131,14,1,4,3051926,00-0034184,Gus Edwards,RB,LAC,False,0
2023,132,14,2,9,3051392,00-0033045,Ezekiel Elliott,RB,NE,False,0
2023,133,14,3,1,3917232,00-0036162,Tyler Bass,K,BUF,False,0
2023,134,14,4,8,16460,00-0030035,Adam Thielen,WR,CAR,False,0
2023,135,14,5,6,-16018,,NO D/ST,D/ST,NO,False,0
2023,136,14,6,3,-16005,,CLE D/ST,D/ST,CLE,False,0
2023,137,14,7,2,3916566,00-0036345,K.J. Osborn,WR,NE,False,0
2023,138,14,8,5,4258173,00-0036554,Nico Collins,WR,HOU,False,0
2023,139,14,9,10,15864,00-0030565,Geno Smith,QB,SEA,False,0
2023,140,14,10,7,4240600,00-0036913,Kadarius Toney,WR,KC,False,0
2023,141,15,1,7,4258595,00-0036290,Cole Kmet,TE,CHI,False,0
2023,142,15,2,10,12460,00-0026858,Graham Gano,K,NYG,False,0
2023,143,15,3,5,4429160,00-0039040,De'Von Achane,RB,MIA,False,0
2023,144,15,4,2,2576414,00-0031687,Raheem Mostert,RB,MIA,False,0
2023,145,15,5,3,3121410,00-0035639,Parris Campbell,WR,PHI,False,0
2023,146,15,6,6,4040761,00-0035250,Devin Singletary,RB,NYG,False,0
2023,147,15,7,8,2473037,00-0031492,Jason Myers,K,SEA,False,0
2023,148,15,8,1,4036348,00-0034764,Michael Gallup,WR,DAL,False,0
2023,149,15,9,9,3055899,00-0033303,Harrison Butker,K,KC,False,0
2023,150,15,10,4,-16020,,NYJ D/ST,D/ST,NYJ,False,0
