season,proj_finish,actual_finish,team,team_id,is_my_team,sim_wins_mean,wins,sim_points_mean,points_for,sim_seed_mean,playoff_seed,final_rank,playoff_odds,abs_err
2021,8,5,Sahit in my DMs We not the same,1,False,6.377666666666666,7,1331.274320198795,1700.18,6.4046666666666665,5,2,0.4676666666666667,3
2021,9,9,Waller? I hardly know her,7,True,6.325333333333333,5,1356.434605608431,1666.8,6.456666666666667,9,9,0.4663333333333333,0
2021,10,4,Robert's Wood,3,False,6.122333333333334,7,1286.2388197784285,1720.9399999999998,7.022666666666667,4,5,0.3726666666666666,6
2022,1,3,Waller? I hardly know her,7,True,8.083666666666666,10,1458.2817134949714,1806.6,3.883,3,3,0.8246666666666667,2
2022,2,8,Stefon Digglett,10,False,7.767333333333333,5,1433.234824326826,1682.0000000000005,4.343333333333334,8,10,0.7733333333333333,6
2022,3,2,Tucker right in The,2,False,7.757,9,1395.3391203582937,1747.2000000000005,4.400333333333333,2,1,0.7416666666666667,1
2022,4,1,Yeh Dil Maange Moore,6,False,7.133666666666667,10,1413.9592271211468,1979.18,5.245666666666667,1,2,0.652,3
2022,5,5,"Sahit, I don't have kik, stop",8,False,6.990333333333333,8,1403.5437274156216,1598.8200000000002,5.476333333333334,5,4,0.626,0
2022,6,4,Gould Standard Redemption Arc,1,False,6.817,9,1365.6349149287632,1617.34,5.792333333333334,4,6,0.559,2
2022,7,10,PiercingMy Heart,4,False,6.734666666666667,3,1362.5734513908037,1489.5999999999997,5.936333333333334,10,9,0.5333333333333333,3
2022,8,7,Sahit on my face,3,False,6.413333333333333,6,1343.596584174699,1512.52,6.427666666666667,7,8,0.4576666666666666,1
2022,9,6,F@(k Fantasy  Football,5,False,6.290666666666667,6,1358.0981038067337,1700.4400000000005,6.514666666666667,6,5,0.443,3
2022,10,9,Team Subcontinent,9,False,6.012333333333333,4,1342.7027016426532,1452.06,6.980333333333333,9,7,0.3893333333333333,1
2023,1,2,Intermixon between Kasts,1,False,7.693333333333333,8,1434.4789305669512,1886.84,4.362333333333333,2,4,0.7513333333333333,1
2023,2,7,Lamb Sauve,5,False,7.557666666666667,6,1450.1995833918074,1662.9,4.469666666666667,7,8,0.752,5
2023,3,9,Chasing this Johnston,2,False,7.546,4,1412.2051434385885,1611.9999999999998,4.676333333333333,9,10,0.729,6
2023,4,10,Bathroom coercer,7,True,7.434333333333333,4,1418.6689197388578,1558.84,4.754,10,9,0.719,6
2023,5,1,Justin Time to CeeDee Rings,6,False,7.259666666666667,10,1401.5610946914835,1690.94,5.004666666666667,1,1,0.6656666666666666,4
2023,6,3,Can McCaffrey Get A McPickTwo?,10,False,7.401666666666666,9,1384.4662156483628,1835.32,5.031333333333333,3,6,0.6703333333333333,3
2023,7,5,"Sahit, I don't have kik, stop",8,False,6.806333333333333,7,1357.009213833093,1683.12,5.879666666666667,5,3,0.5436666666666666,2
