gsis_id,player_name,position,draft_year,first_stat_season,ppr_y1,ppr_y2,ppr_y3,games_y1,games_y2,games_y3,dynasty_seasons_observed,dynasty_seasons_complete,dynasty_ppr_y1_y3_total,dynasty_ppr_y1_y3_avg_season,dynasty_ppr_y1_y3_avg_game,dynasty_games_y1_y3
00-0036377,Joe Reed,WR,2020,2020.0,8.9,,,3.0,,,1,0,,,,
00-0036427,Tyler Johnson,WR,2020,2020.0,40.9,72.0,,10.0,15.0,,2,0,,,,
00-0036254,Collin Johnson,WR,2020,2020.0,59.2,21.5,,10.0,7.0,,2,0,,,,
00-0036277,Quintez Cephus,WR,2020,2020.0,66.9,49.4,3.5,11.0,5.0,1.0,3,1,119.80000000000001,39.93333333333334,7.0470588235294125,17.0
00-0036197,Jake Fromm,QB,2020,2021.0,10.9,,,3.0,,,1,0,,,,
00-0036398,John Hightower,WR,2020,2020.0,28.8,,,10.0,,,1,0,,,,
00-0036308,Isaiah Coulter,WR,2020,2021.0,0.0,,,1.0,,,1,0,,,,
00-0036278,Jason Huntley,RB,2020,2020.0,2.9000000000000004,5.1,,3.0,1.0,,2,0,,,,
00-0036309,Darnell Mooney,WR,2020,2020.0,152.1,219.7,101.5,16.0,17.0,11.0,3,1,473.29999999999995,157.76666666666665,10.756818181818181,44.0
00-0036345,K.J. Osborn,WR,2020,2021.0,158.5,155.6,120.0,17.0,17.0,15.0,3,1,434.1,144.70000000000002,8.859183673469389,49.0
00-0036233,Donovan Peoples-Jones,WR,2020,2020.0,58.4,109.7,167.1,7.0,13.0,17.0,3,1,335.2,111.73333333333333,9.05945945945946,37.0
00-0036312,Jake Luton,QB,2020,2020.0,28.26,,,3.0,,,1,0,,,,
00-0036429,Charlie Woerner,TE,2020,2020.0,6.6,10.2,0.0,3.0,4.0,2.0,3,1,16.799999999999997,5.599999999999999,1.8666666666666663,9.0
00-0036271,Quez Watkins,WR,2020,2020.0,23.6,116.0,84.5,4.0,17.0,16.0,3,1,224.1,74.7,6.056756756756757,37.0
00-0036133,James Proche,WR,2020,2020.0,2.4,36.2,12.200000000000001,3.0,7.0,7.0,3,1,50.800000000000004,16.933333333333334,2.988235294117647,17.0
00-0036250,Tyler Davis,TE,2020,2020.0,0.0,7.5,6.6,1.0,4.0,5.0,3,1,14.1,4.7,1.41,10.0
00-0036165,Isaiah Hodgins,WR,2020,2022.0,,,,,,,0,0,,,,
00-0036228,Dezmon Patmon,WR,2020,2021.0,10.1,4.4,,4.0,1.0,,2,0,,,,
00-0036247,Freddie Swain,WR,2020,2020.0,40.9,86.5,11.4,12.0,16.0,3.0,3,1,138.8,46.26666666666667,4.47741935483871,31.0
00-0036259,Jauan Jennings,WR,2020,2021.0,82.19999999999999,82.6,51.5,13.0,16.0,12.0,3,1,216.29999999999998,72.1,5.275609756097561,41.0
00-0036382,K.J. Hill,WR,2020,2020.0,14.3,6.0,,5.0,1.0,,2,0,,,,
00-0036383,Eno Benjamin,RB,2020,2021.0,28.0,89.6,,7.0,12.0,,2,0,,,,
,Cole McDonald,QB,2020,,,,,,,,0,0,,,,
00-0036384,Ben DiNucci,QB,2020,2020.0,6.960000000000001,,,2.0,,,1,0,,,,
00-0036433,Tommy Stevens,QB,2020,2020.0,2.4,,,1.0,,,1,0,,,,
00-0036279,Nate Stanley,QB,2020,,,,,,,,0,0,,,,
00-0036435,Raymond Calais,RB,2020,,,,,,,,0,0,,,,
00-0036245,Malcolm Perry,RB,2020,2020.0,24.7,,,8.0,,,1,0,,,,
00-0036438,Stephen Sullivan,TE,2020,2021.0,0.0,6.6,24.5,1.0,4.0,10.0,3,1,31.1,10.366666666666667,2.0733333333333333,15.0
00-0036439,Tyrie Cleveland,WR,2020,2020.0,12.3,0.0,4.8,5.0,1.0,3.0,3,1,17.1,5.7,1.9000000000000001,9.0
00-0036971,Trevor Lawrence,QB,2021,2021.0,199.04,295.62,262.54,17.0,17.0,16.0,3,1,757.2,252.4,15.144,50.0
00-0037013,Zach Wilson,QB,2021,2021.0,151.85999999999999,98.92,119.94,13.0,9.0,12.0,3,1,370.71999999999997,123.57333333333332,10.903529411764705,34.0
00-0037012,Trey Lance,QB,2021,2021.0,64.92,12.46,,6.0,2.0,,2,0,,,,
00-0036970,Kyle Pitts,TE,2021,2021.0,176.6,75.6,137.3,17.0,10.0,17.0,3,1,389.5,129.83333333333334,8.852272727272727,44.0
00-0036900,Ja'Marr Chase,WR,2021,2021.0,304.6,242.4,262.72,17.0,12.0,16.0,3,1,809.72,269.9066666666667,17.99377777777778,45.0
00-0036613,Jaylen Waddle,WR,2021,2021.0,247.8,259.2,198.6,16.0,17.0,14.0,3,1,705.6,235.20000000000002,15.01276595744681,47.0
00-0036912,DeVonta Smith,WR,2021,2021.0,185.6,254.6,227.6,17.0,17.0,16.0,3,1,667.8,222.6,13.356,50.0
00-0036945,Justin Fields,QB,2021,2021.0,126.8,295.98,230.17999999999998,12.0,15.0,13.0,3,1,652.96,217.65333333333334,16.324,40.0
00-0036972,Mac Jones,QB,2021,2021.0,224.94,170.08,106.4,17.0,14.0,11.0,3,1,501.41999999999996,167.14,11.938571428571427,42.0
