season,source,blend_model_weight,team_id,proj_points_for,sim_wins_mean,sim_wins_p10,sim_wins_p90,sim_points_mean,sim_seed_mean,playoff_odds,title_odds
2019,model,,5,1229.5590783490272,6.4736666666666665,4.0,9.0,1229.7107092793847,5.692,0.5733333333333334,0.06766666666666667
2019,model,,6,1354.6318367247716,7.628333333333333,5.0,10.0,1355.3617758526718,3.6726666666666667,0.8313333333333334,0.21366666666666667
2019,model,,7,1314.1266049037795,6.71,4.0,9.0,1311.9924852767876,5.048,0.68,0.11766666666666667
2019,model,,8,1278.7517647674922,6.436333333333334,4.0,9.0,1278.2655907740036,5.560333333333333,0.602,0.101
2019,model,,9,1231.8368561590949,5.698,3.0,8.0,1231.8906431819655,6.746333333333333,0.433,0.049666666666666665
2019,model,,10,1275.0617093519918,6.549333333333333,4.0,9.0,1278.095128879352,5.4223333333333334,0.625,0.09766666666666667
2019,adp,,1,1243.3382435597991,5.468,3.0,8.0,1242.6878198931126,7.17,0.35,0.028333333333333332
2019,adp,,2,1238.584049805453,5.284666666666666,3.0,8.0,1240.575906391841,7.423666666666667,0.31433333333333335,0.018333333333333333
2019,adp,,3,1357.1833156164096,7.160666666666667,5.0,9.0,1360.3140653056878,4.446,0.7523333333333333,0.14133333333333334
2019,adp,,4,1347.7643251899838,7.098333333333334,5.0,9.0,1349.6336914897256,4.57,0.7416666666666667,0.135
2019,adp,,5,1339.8537593912392,7.160333333333333,5.0,9.0,1338.8429483769082,4.558666666666666,0.7436666666666667,0.119
2019,adp,,6,1325.2684359291088,6.487666666666667,4.0,9.0,1323.3880365133064,5.538,0.613,0.07233333333333333
2019,adp,,7,1351.023875796786,6.490333333333333,4.0,9.0,1348.8895717962416,5.364333333333334,0.6416666666666667,0.09
2019,adp,,8,1450.0989335666218,7.996333333333333,6.0,10.0,1452.6669560405824,3.103666666666667,0.89,0.29533333333333334
2019,adp,,9,1284.971172907734,5.773,4.0,8.0,1284.6732535895756,6.611666666666666,0.4523333333333333,0.048666666666666664
