gsis_id,player_name,position,cfb_final_season,cfb_pass_yards,cfb_pass_td,cfb_rush_yards,cfb_rush_td,cfb_rec,cfb_rec_yards,cfb_rec_td
00-0032394,Nick Vannett,TE,2015,,,,,19.0,162.0,0.0
00-0032893,Connor Cook,QB,2015,3131.0,24.0,56.0,0.0,,,
00-0032398,Chris Moore,WR,2015,,,10.0,0.0,40.0,870.0,7.0
00-0033110,Tyler Higbee,TE,2015,,,,,38.0,563.0,8.0
00-0032400,Malcolm Mitchell,WR,2015,,,,,58.0,865.0,5.0
00-0033079,Ricardo Louis,WR,2015,,,158.0,1.0,46.0,716.0,3.0
00-0033111,Pharoh Cooper,WR,2015,11.0,1.0,111.0,1.0,66.0,973.0,8.0
00-0032404,Tyler Ervin,RB,2015,,,1601.0,13.0,45.0,334.0,2.0
00-0032775,Demarcus Robinson,WR,2015,0.0,0.0,1.0,0.0,48.0,522.0,2.0
00-0032411,Kenneth Dixon,RB,2015,,,1070.0,19.0,34.0,467.0,7.0
00-0033077,Dak Prescott,QB,2015,3793.0,29.0,588.0,10.0,,,
00-0032972,Devontae Booker,RB,2015,25.0,1.0,1261.0,11.0,37.0,318.0,0.0
00-0033080,Seth Devalve,TE,,,,,,,,
00-0033098,Cardale Jones,QB,2015,1460.0,8.0,193.0,2.0,,,
00-0032778,Tajae Sharpe,WR,2015,,,-3.0,0.0,111.0,1319.0,5.0
00-0032940,DeAndre Washington,RB,2015,,,1492.0,14.0,41.0,385.0,2.0
00-0032417,Paul Perkins,RB,2015,,,1343.0,14.0,30.0,242.0,1.0
00-0032780,Jordan Howard,RB,2016,,,32.0,0.0,,,
00-0032782,Wendell Smallwood,RB,2015,,,1519.0,9.0,26.0,160.0,0.0
00-0032974,Jordan Payton,WR,2015,,,,,78.0,1106.0,5.0
00-0032975,Jonathan Williams,RB,2014,0.0,0.0,1190.0,12.0,19.0,169.0,2.0
00-0032784,Kevin Hogan,QB,2015,2867.0,27.0,336.0,6.0,1.0,11.0,1.0
00-0032423,Trevor Davis,WR,2015,,,4.0,0.0,40.0,672.0,2.0
00-0033040,Tyreek Hill,WR,2014,,,534.0,1.0,31.0,281.0,1.0
00-0032426,Alex Collins,RB,2015,,,1577.0,20.0,13.0,95.0,0.0
00-0032977,Rashard Higgins,WR,2015,,,20.0,0.0,75.0,1062.0,8.0
00-0032956,Andy Janovich,RB,2015,,,265.0,3.0,2.0,58.0,0.0
00-0033112,Temarrick Hemingway,TE,2014,,,,,2.0,17.0,0.0
00-0032341,Moritz Boehringer,WR,,,,,,,,
00-0033078,Keenan Reynolds,RB,2015,1203.0,8.0,1373.0,24.0,1.0,47.0,0.0
00-0032429,Jerell Adams,TE,2015,,,,,28.0,421.0,3.0
00-0032791,Jakeem Grant,WR,2015,72.0,1.0,68.0,2.0,90.0,1268.0,10.0
00-0032792,Nate Sudfeld,QB,2015,3573.0,27.0,61.0,5.0,,,
00-0032430,David Morgan,TE,2015,,,,,45.0,566.0,5.0
00-0032431,Jake Rudock,QB,2015,3017.0,20.0,166.0,4.0,1.0,-3.0,0.0
00-0032957,Kolby Listenbee,WR,2015,,,11.0,0.0,30.0,597.0,5.0
00-0032794,Danny Vitale,RB,,,,,,,,
00-0032897,Derek Watt,RB,2015,,,45.0,0.0,15.0,139.0,0.0
00-0032795,Cody Core,WR,2015,,,1.0,0.0,37.0,644.0,4.0
00-0032434,Brandon Allen,QB,2015,3440.0,30.0,107.0,1.0,1.0,11.0,0.0
00-0033114,Mike Thomas,WR,,,,,,,,
00-0032436,Jeff Driskel,QB,2015,4033.0,27.0,323.0,5.0,,,
00-0032440,Kelvin Taylor,RB,2015,,,1035.0,13.0,17.0,150.0,0.0
00-0032441,Aaron Burbridge,WR,2015,,,44.0,0.0,85.0,1258.0,7.0
00-0033049,Darius Jackson,RB,2015,,,1078.0,14.0,21.0,201.0,2.0
00-0033054,Rico Gathers,TE,,,,,,,,
00-0032446,Brandon Doughty,QB,2015,5055.0,48.0,-122.0,1.0,1.0,7.0,1.0
00-0032447,Devin Lucien,WR,2015,0.0,0.0,,,66.0,1074.0,8.0
00-0032365,Demarcus Ayers,WR,2015,49.0,2.0,147.0,1.0,98.0,1222.0,6.0
00-0032801,Daniel Braverman,WR,2015,,,13.0,0.0,108.0,1367.0,13.0
00-0033061,Thomas Duarte,TE,2015,,,,,53.0,872.0,10.0
00-0032450,Dwayne Washington,RB,2015,,,282.0,4.0,25.0,315.0,3.0
00-0032804,Daniel Lasco,RB,2015,,,331.0,3.0,4.0,24.0,0.0
00-0032451,Devin Fuller,WR,,,,,,,,
00-0032959,Charone Peake,WR,2015,,,,,50.0,716.0,5.0
00-0032806,Keith Marshall,RB,2015,,,350.0,3.0,4.0,28.0,1.0
00-0032453,Kenny Lawler,WR,2015,,,5.0,0.0,52.0,658.0,13.0
00-0032808,Zac Brooks,RB,2015,,,234.0,3.0,9.0,113.0,2.0
00-0032900,Beau Sandland,TE,2013,,,,,9.0,94.0,1.0
00-0033869,Mitchell Trubisky,QB,,,,,,,,
00-0033856,Leonard Fournette,RB,2016,0.0,0.0,843.0,8.0,15.0,146.0,0.0
00-0033871,Corey Davis,WR,2016,,,0.0,0.0,97.0,1500.0,19.0
00-0033536,Mike Williams,WR,2016,,,,,98.0,1361.0,11.0
00-0033280,Christian McCaffrey,RB,2016,,,1603.0,13.0,37.0,310.0,3.0
00-0033460,John Ross,WR,2016,,,102.0,1.0,81.0,1150.0,17.0
00-0033873,Patrick Mahomes,QB,2016,5052.0,41.0,285.0,12.0,,,
