season,team_id,as_of_week,end_week,n_weeks,player_name,overall_pick,pick_label,kind,label
2025,6,5,10,6,Ricky Pearsall,107.0,11.07,out_3plus,Ricky Pearsall out 6 weeks (W5-W10) (11.07)
2025,6,5,10,6,Juwan Johnson,,,out_3plus,Juwan Johnson out 6 weeks (W5-W10)
2025,6,10,12,3,Brian Thomas Jr.,14.0,2.04,out_3plus,Brian Thomas Jr. out 3 weeks (W10-W12) (2.04)
2025,6,10,12,3,Bucky Irving,17.0,2.07,out_3plus,Bucky Irving out 3 weeks (W10-W12) (2.07)
2025,7,10,14,5,Tucker Kraft,93.0,10.03,out_for_season,Tucker Kraft out for season (10.03)
2025,7,11,14,4,Jordan Mason,95.0,10.05,out_for_season,Jordan Mason out for season (10.05)
2025,8,11,14,4,J.K. Dobbins,91.0,10.01,out_3plus,J.K. Dobbins out 4 weeks (W11-W14) (10.01)
2025,9,5,14,10,Malik Nabers,9.0,1.09,out_for_season,Malik Nabers out for season (1.09)
2025,9,6,11,6,Omarion Hampton,29.0,3.09,out_3plus,Omarion Hampton out 6 weeks (W6-W11) (3.09)
2025,9,8,14,7,Justin Fields,129.0,13.09,out_for_season,Justin Fields out for season (13.09)
2025,9,10,12,3,Tyler Allgeier,125.0,13.05,out_3plus,Tyler Allgeier out 3 weeks (W10-W12) (13.05)
2025,9,12,14,3,David Njoku,72.0,8.02,out_3plus,David Njoku out 3 weeks (W12-W14) (8.02)
2025,10,3,12,10,Joe Burrow,33.0,4.03,out_3plus,Joe Burrow out 10 weeks (W3-W12) (4.03)
2025,10,3,6,4,Evan Engram,86.0,9.06,out_3plus,Evan Engram out 4 weeks (W3-W6) (9.06)
2025,10,6,8,3,Chris Godwin Jr.,73.0,8.03,out_3plus,Chris Godwin Jr. out 3 weeks (W6-W8) (8.03)
2025,10,12,14,3,Drake London,18.0,2.08,out_3plus,Drake London out 3 weeks (W12-W14) (2.08)
