gsis_id,player_name,position,draft_year,first_stat_season,rookie_ppr,rookie_games,rookie_ppr_per_game,rookie_ppr_rank_pos
00-0032417,Paul Perkins,RB,2016,2016.0,76.8,13.0,5.907692307692307,7.0
00-0032780,Jordan Howard,RB,2016,2016.0,230.1,15.0,15.34,2.0
00-0032782,Wendell Smallwood,RB,2016,2016.0,52.7,12.0,4.391666666666667,9.0
00-0032974,Jordan Payton,WR,2016,2016.0,1.3,2.0,0.65,25.0
00-0032975,Jonathan Williams,RB,2016,2016.0,12.4,8.0,1.55,15.0
00-0032784,Kevin Hogan,QB,2016,2016.0,16.66,3.0,5.553333333333334,7.0
00-0032423,Trevor Davis,WR,2016,2016.0,11.4,4.0,2.85,20.0
00-0033040,Tyreek Hill,WR,2016,2016.0,219.0,16.0,13.6875,2.0
00-0032426,Alex Collins,RB,2016,2016.0,35.9,9.0,3.988888888888889,12.0
00-0032977,Rashard Higgins,WR,2016,2016.0,13.7,10.0,1.3699999999999999,18.0
00-0032956,Andy Janovich,RB,2016,2016.0,18.7,7.0,2.6714285714285713,13.0
00-0033112,Temarrick Hemingway,TE,2016,2020.0,,,,
00-0032341,Moritz Boehringer,WR,2016,,,,,
00-0033078,Keenan Reynolds,RB,2016,,,,,
00-0032429,Jerell Adams,TE,2016,2016.0,34.2,9.0,3.8000000000000003,4.0
00-0032791,Jakeem Grant,WR,2016,2016.0,6.1,3.0,2.033333333333333,23.0
00-0032792,Nate Sudfeld,QB,2016,2017.0,7.56,1.0,7.56,8.0
00-0032430,David Morgan,TE,2016,2016.0,1.4,1.0,1.4,7.0
00-0032431,Jake Rudock,QB,2016,2017.0,-1.04,1.0,-1.04,11.0
00-0032957,Kolby Listenbee,WR,2016,,,,,
00-0032794,Danny Vitale,RB,2016,2016.0,6.7,5.0,1.34,16.0
00-0032897,Derek Watt,RB,2016,2016.0,12.7,6.0,2.1166666666666667,14.0
00-0032795,Cody Core,WR,2016,2016.0,37.0,6.0,6.166666666666667,12.0
00-0032434,Brandon Allen,QB,2016,2019.0,,,,
00-0033114,Mike Thomas,WR,2016,2016.0,6.7,6.0,1.1166666666666667,22.0
00-0032436,Jeff Driskel,QB,2016,2018.0,,,,
00-0032440,Kelvin Taylor,RB,2016,,,,,
00-0032441,Aaron Burbridge,WR,2016,2016.0,15.8,8.0,1.975,17.0
00-0033049,Darius Jackson,RB,2016,2018.0,,,,
00-0033054,Rico Gathers,TE,2016,2018.0,,,,
00-0032446,Brandon Doughty,QB,2016,,,,,
00-0032447,Devin Lucien,WR,2016,,,,,
