player_name,player_name_norm,position,draft_year,draft_round,draft_overall,draft_team,gsis_id,pfr_player_id,cfb_id,college,draft_side,hof,birth_date,first_stat_season,rookie_ppr,rookie_games,rookie_ppr_per_game,rookie_ppr_rank_pos,hs_class,recruiting_rank,recruiting_stars,recruiting_source,recruiting_match_score,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,sos_opp_win_pct,games_scheduled,off_pass_yards,off_rush_yards,off_pass_rate_proxy,team_opportunity_ppr,team_pos_carries,team_pos_targets,team_pos_receptions,team_pos_touches,incumbent_pos_ppr,incumbent_pos_ppr_sum,incumbent_pos_carries,incumbent_pos_targets,incumbent_pos_touches,cfb_final_season,cfb_pass_yards,cfb_pass_td,cfb_rush_yards,cfb_rush_td,cfb_rec,cfb_rec_yards,cfb_rec_td,ff_adp,ff_adp_rank,ff_rankings_note,vacated_touches,vacated_carries,score_draft_capital,score_pre_draft_fantasy,score_recruiting,score_timing,score_cfb_receiving,score_cfb_rushing,score_cfb_passing,score_combine_speed,score_combine_explosion,score_combine_size,score_team_context,predicted_rookie_ppr,success_score_0_100
Seth McGowan,seth mcgowan,RB,2026,7,237,IND,MCG547540,McGoSe01,,Kentucky,O,False,,,,,,,2020.0,154.0,4.0,industry_composite,100.0,6-0,223.0,4.49,,42.5,131.0,,4.5,0.5397923875432525,17.0,3599.0,2318.0,0.5084241823587711,362.3,323.0,0.0,46.0,369.0,362.3,362.3,323.0,0.0,369.0,2025.0,,,725.0,12.0,19.0,126.0,0.0,364.0,392.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,-1.5241946574896459,-1.1340112499618742,0.6193953105444485,2.2031757727758383,-0.5201478069261933,-0.15400774006831092,,-0.5399509529562965,2.1835892917407143,0.7397310186566284,-1.9601380375060447,22.590104500710414,31.176470588235293
Jam Miller,jam miller,RB,2026,7,245,NWE,MIL303300,MillJa03,,Alabama,O,False,,,,,,,2022.0,90.0,4.0,industry_composite,100.0,5-10,209.0,4.42,,30.5,115.0,,,0.3910034602076124,17.0,3343.0,1969.0,0.5425641025641026,389.0,310.0,0.0,67.0,377.0,208.2,389.0,180.0,0.0,215.0,2025.0,,,504.0,3.0,19.0,109.0,0.0,262.0,299.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),162.0,130.0,-1.6408794159577527,-0.4935210617502485,0.6617540414420893,2.9802294685681363,-0.5596874358015412,-1.0531479377545263,,1.218879098135961,-1.1683252725035491,-0.4108484905451816,-0.3632351343814575,22.203630102928848,30.58823529411765
Kenyon Sadiq,kenyon sadiq,TE,2026,1,16,NYJ,SAD482340,SadiKe00,,Oregon,O,False,,,,,,,2023.0,119.0,4.0,industry_composite,100.0,6-3,241.0,4.39,26.0,43.5,133.0,,,0.5501730103806228,17.0,4016.0,1561.0,0.6257731958762887,,,,,,,,,,,2025.0,,,6.0,0.0,51.0,560.0,8.0,165.0,164.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),,,1.7101239284902088,1.1694814049050444,0.8673559931890745,3.426531662235744,0.883049593859112,-0.2742317334458037,,2.71974873978935,2.9686938299801207,-1.164274764176812,0.18375095107202766,78.64599639770199,80.37383177570094
Eli Stowers,eli stowers,TE,2026,2,54,PHI,STO806346,StowEl00,,Vanderbilt,O,False,,,,,,,2021.0,176.0,4.0,industry_composite,100.0,6-4,239.0,4.51,,45.5,135.0,,,0.4705882352941176,17.0,3517.0,3048.0,0.4190832553788587,185.1,0.0,82.0,60.0,60.0,185.1,185.1,0.0,82.0,60.0,2025.0,,,2.0,0.0,61.0,765.0,4.0,260.0,253.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,1.0871184725954692,0.6802494095314481,0.8346678618626506,2.6538469670635196,0.9325535830291004,-0.2965960659723227,,1.7405152398575963,3.4703589230092065,-0.932032419406393,-0.871964370859161,78.26111649811514,80.37383177570094
Marlin Klein,marlin klein,TE,2026,2,59,HOU,KLE258860,KleiMa00,,Michigan,O,False,,,,,,,2022.0,446.0,3.0,industry_composite,100.0,6-6,248.0,4.61,,36.0,117.0,7.42,,0.5224913494809689,17.0,3952.0,1909.0,0.5677290836653387,177.7,0.0,106.0,82.0,82.0,177.7,177.7,0.0,106.0,82.0,2025.0,,,,,24.0,248.0,1.0,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=60.86956521739131).,0.0,0.0,1.005144070504056,,-0.3191520491218057,3.040189314649632,-0.7579912495913829,,,-0.2298154784536284,0.31299944139240216,0.3293039546960305,-0.8160358877396666,51.17684624556929,65.42056074766354
Max Klare,max klare,TE,2026,2,61,LAR,KLA269938,KlarMa00,,Ohio St.,O,False,,,,,,,2022.0,1220.0,3.0,industry_composite,100.0,6-4,246.0,,,,,,,0.5259515570934257,17.0,4096.0,1765.0,0.554013875123885,131.8,0.0,56.0,43.0,43.0,131.8,131.8,0.0,56.0,43.0,2025.0,,,,,43.0,448.0,2.0,302.0,358.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,0.9723543096674907,0.29885212063975314,-0.7630224639753495,3.040189314649632,-0.02816827668627686,,,,,-0.502958435411693,-0.6231901841555713,58.957847237199985,71.02803738317756
Sam Roush,sam roush,TE,2026,3,69,CHI,ROU550040,RousSa00,,Stanford,O,False,,,,,,,2022.0,309.0,4.0,industry_composite,100.0,6-6,267.0,4.7,25.0,38.5,126.0,7.08,4.37,0.4532871972318339,17.0,3552.0,1734.0,0.567703109327984,153.1,1.0,82.0,58.0,59.0,153.1,153.1,1.0,82.0,59.0,2025.0,,,,,49.0,545.0,2.0,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=50.0).,0.0,0.0,0.8411952663212299,,0.7583955554343286,3.040189314649632,0.21311325186244373,,,0.16600380582460797,1.5323074998241952,1.4939333398245018,-0.7530881226492051,45.996665078469924,63.55140186915887
Oscar Delp,oscar delp,TE,2026,3,73,NOR,,DelpOs01,,Georgia,O,False,,,,,,,2022.0,83.0,4.0,industry_composite,100.0,6-5,245.0,,,,,,,0.4948096885813149,17.0,3730.0,1954.0,0.5537688442211055,183.9,0.0,102.0,77.0,77.0,183.9,183.9,0.0,102.0,77.0,2025.0,,,,,20.0,261.0,1.0,388.0,402.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,0.7756157446480993,-0.052068195083097735,0.8880011287636578,3.040189314649632,-0.8201687525174234,,,,,-0.20941980721345982,-0.8470850767254489,33.08156590220492,51.4018691588785
Eli Raridon,eli raridon,TE,2026,3,95,NWE,RAR148318,RariEl00,,Notre Dame,O,False,,,,,,,2022.0,139.0,4.0,industry_composite,100.0,,,,,,,,,0.3910034602076124,17.0,3343.0,1969.0,0.5425641025641026,178.8,0.0,87.0,60.0,60.0,178.8,178.8,0.0,87.0,60.0,2025.0,,,,,32.0,482.0,0.0,329.0,378.0,FantasyPros Overall ADP for rookie season 2026 (match_score=100.0),0.0,0.0,0.4149283754458816,0.17312260413216898,0.8558864734254169,3.040189314649632,-0.4052236374641486,,,,,,-0.8149004959147421,34.01439673950521,52.336448598130836
Matthew Hibner,matthew hibner,TE,2026,4,133,BAL,HIB564972,HibnMa00,,SMU,O,False,,,,,,,2020.0,475.0,3.0,industry_composite,100.0,6-4,251.0,4.57,28.0,37.0,116.0,,,0.5051903114186851,17.0,4189.0,3189.0,0.4626576139670223,335.0,10.0,70.0,48.0,58.0,335.0,335.0,10.0,70.0,58.0,2025.0,,,,,31.0,436.0,4.0,,,No FantasyPros ADP match in 2026 overall rankings (rookies only; best_score=53.84615384615385).,0.0,0.0,-0.20807708044885803,,-0.335782852779109,2.267504619477408,-0.07565334925178215,,,1.2508984898917161,0.38160839032373384,-0.1964770182726216,-1.578252639051722,30.922079313579246,50.467289719626166
